Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,475.500000,480.950012,470.774994,472.924988,456.147888,148086
2019-01-03,474.100006,479.975006,472.649994,473.975006,457.160645,87670
2019-01-04,475.000000,475.200012,462.500000,466.649994,450.095551,159780
2019-01-07,470.000000,474.899994,468.024994,469.850006,453.182007,69276
2019-01-08,470.500000,473.924988,466.700012,472.549988,455.786224,80556
2019-01-09,475.000000,475.000000,467.000000,470.049988,453.374939,96018
2019-01-10,470.325012,470.325012,466.149994,467.924988,451.325226,49846
2019-01-11,469.000000,470.825012,460.075012,470.250000,453.567810,131136
2019-01-14,471.000000,471.450012,464.149994,468.774994,452.145142,72648
2019-01-15,466.750000,477.500000,464.700012,473.524994,456.726624,140994
2019-01-16,469.575012,477.475006,467.799988,469.075012,452.434509,94170
2019-01-17,469.125000,478.649994,466.500000,477.399994,460.464203,132198
2019-01-18,476.500000,484.000000,473.174988,482.250000,465.142090,127098
2019-01-21,482.500000,490.000000,480.000000,481.299988,464.225769,100932
2019-01-22,481.299988,481.700012,469.000000,470.799988,454.098328,91548
2019-01-23,472.875000,474.600006,469.399994,472.450012,455.689758,64564
2019-01-24,474.500000,476.774994,470.000000,473.600006,456.799042,53806
2019-01-25,477.799988,489.750000,473.950012,485.625000,468.397400,123194
2019-01-28,487.399994,489.500000,481.950012,487.975006,470.664093,84916
2019-01-29,488.049988,497.500000,481.000000,494.049988,476.523529,140420
2019-01-30,507.500000,517.375000,501.274994,508.549988,490.509125,367662
2019-01-31,510.000000,512.500000,494.649994,502.600006,484.770233,186178
2019-02-01,502.500000,525.174988,502.500000,522.000000,503.482025,247376
2019-02-04,521.974976,529.000000,515.625000,519.674988,501.239471,188948
2019-02-05,523.950012,527.575012,520.075012,522.700012,505.129089,85882
2019-02-06,524.500000,532.500000,524.500000,526.900024,509.188019,109088
2019-02-07,527.500000,538.724976,526.750000,530.525024,512.691162,144936
2019-02-08,532.799988,537.799988,530.025024,532.950012,515.034607,73686
2019-02-11,535.025024,540.525024,531.500000,538.025024,519.939087,84438
2019-02-12,539.000000,539.000000,526.424988,529.674988,511.869812,32830
2019-02-14,533.974976,534.875000,528.849976,530.650024,512.812012,63350
2019-02-15,530.000000,533.049988,520.799988,528.924988,511.144897,58652
2019-02-18,532.000000,532.000000,516.775024,523.625000,506.023041,64208
2019-02-19,522.500000,525.625000,518.000000,519.650024,502.181702,33514
2019-02-20,515.000000,530.224976,513.025024,527.924988,510.178558,36358
2019-02-21,528.000000,530.500000,521.450012,526.750000,509.042969,63096
2019-02-22,526.750000,535.000000,520.950012,531.575012,513.705872,68058
2019-02-25,535.000000,543.500000,531.700012,541.650024,523.442139,63086
2019-02-26,541.500000,548.049988,527.424988,529.400024,511.604004,122372
2019-02-27,529.450012,531.250000,519.299988,530.150024,512.328796,96726
2019-02-28,536.000000,536.000000,524.000000,526.599976,508.898041,62096
2019-03-01,527.775024,530.750000,523.224976,526.400024,508.704773,74470
2019-03-05,527.000000,529.724976,522.799988,526.599976,508.898041,46068
2019-03-06,530.025024,531.750000,519.150024,521.799988,504.259460,77172
2019-03-07,526.500000,526.500000,516.000000,517.299988,499.910645,72758
2019-03-08,522.500000,522.500000,502.500000,504.225006,487.275208,126380
2019-03-11,504.475006,510.350006,500.725006,502.350006,485.463257,129370
2019-03-12,502.549988,509.375000,502.500000,506.250000,489.232147,110622
2019-03-13,508.799988,521.000000,507.100006,514.099976,496.818237,347624
2019-03-14,516.750000,520.250000,502.325012,503.274994,486.357117,120154
2019-03-15,508.500000,517.250000,504.924988,514.049988,496.769897,203470
2019-03-18,514.500000,518.974976,504.375000,506.274994,489.256287,70110
2019-03-19,511.000000,520.000000,506.799988,517.299988,499.910645,73134
